sent1,sent2
"He is a close friend of mine.", "He and I are close friends."
"I hope everything works out.", "I hope everything turns out well."
"The instructions were not clear.", "The instructions were confusing."
"I'm going to work.", "I'm heading to work."
"The project is on schedule.", "The project is on track."
"I'm a native English speaker.", "English is my native language."
"He is a trustworthy person.", "You can trust him."
"The meeting was long.", "The meeting took a long time."
"I have no objections.", "I don't have any problem with that."
"He's a fast learner.", "He learns things quickly."
"I'm not feeling well today.", "I feel under the weather today."
"The book is not worth reading.", "The book is a waste of time."
"She lives alone.", "She lives by herself."
"This is a matter of great importance.", "This is a very important matter."
"I can't come to a decision.", "I can't make up my mind."
"He is not an honest person.", "He is a dishonest person."
"I'm going to be late.", "I will not be on time."
"He is good at his job.", "He performs well at his job."
"The result was a surprise.", "The result was unexpected."
"The film was a big hit.", "The film was very popular."
"I'm looking for a new job.", "I'm searching for a new job."
"She is in a bad mood.", "She is feeling grumpy."
"The project is behind schedule.", "The project is running late."
"I'm all ears.", "I'm ready to listen."
"I need a break.", "I need some rest."
"He's on top of the world.", "He's extremely happy."
"The journey was tiring.", "The journey made me tired."
"What is the matter?", "What's wrong?"
"I am absolutely certain.", "I have no doubt."
"He's a big spender.", "He spends a lot of money."
"The company is losing money.", "The company is in the red."
"I need to go to the bathroom.", "I need to use the restroom."
"The building is not very tall.", "The building is short."
"The dog is not friendly.", "The dog is hostile."
"It's not a secret anymore.", "It's common knowledge."
"The house is very clean.", "The house is spotless."
"He's very brave.", "He has a lot of courage."
"I am not a fan of his music.", "I don't like his music."
"The meeting was productive.", "We had a productive meeting."
"She is a good speaker.", "She speaks well."
"He is a man of honor.", "He is an honorable man."
"This is a waste of time.", "This is pointless."
"I will come to your party.", "I'll be there for your party."
"The temperature is hot.", "The temperature is high."
"He is a good liar.", "He lies well."
"The cat is chasing the mouse.", "The mouse is being chased by the cat."
"I have no idea.", "I don't know."
"You should be more careful.", "You need to exercise more caution."
"It's a very small amount.", "It's a minuscule amount."
"The food was not good.", "The food was bad."
"He's a very kind person.", "He has a very kind heart."
"I'm on cloud nine.", "I'm extremely happy."
