homonym,meaning1,meaning2,synonym
column,a vertical pillar,a regular feature in a newspaper,pillar
commit,to carry out a crime,to pledge oneself to a course of action,perpetrate
company,a commercial business,the fact of being with others,firm
complex,consisting of many parts,a group of similar buildings,intricate
conduct,to organize and carry out,behavior,manage
console,to comfort someone,a panel with controls,soothe
content,in a state of peaceful happiness,the material in a document,satisfied
contract,a written agreement,to decrease in size,pact
convict,a person found guilty of a crime,to declare someone guilty,prisoner
cool,of a low temperature,fashionably attractive,chilly
copy,a thing made to be similar to another,to imitate,duplicate
core,the central part of a fruit,the essential part of something,center
corner,a place where two lines meet,to force a person into a difficult situation,nook
count,to determine the total number,a nobleman,tally
court,a place where legal cases are tried,to try to win the affection of someone,tribunal
cover,to put something over,a protective lid,lid
cow,a female bovine animal,to intimidate,heifer
crack,a line on the surface of something broken,to solve a problem,fissure
craft,an activity involving skill in making things,a boat or ship,skill
crane,a machine for lifting,a large bird,hoist
cricket,an insect,a game played with a bat and ball,grasshopper
cross,a mark with two intersecting lines,angry,traverse
current,a body of water moving in a direction,happening now,flow
custom,a traditional way of behaving,made for a particular individual,tradition
dash,to run somewhere in a hurry,a small quantity of an ingredient,sprint
date,a specific day,a sweet fruit,appointment
deal,an agreement,to distribute cards,transaction
deck,a floor of a ship,a pack of cards,veranda
desert,to abandon,a waterless area of land,forsake
digest,to break down food,a summary of information,absorb
dip,to put something into a liquid briefly,a thick sauce,immerse
direct,to control the operations of,straight,manage
down,in a lower position,soft feathers,below
draft,a preliminary version,a current of air,outline
draw,to create a picture,to pull or drag,sketch
dress,an item of clothing,to apply a bandage,garment
drill,a tool for making holes,a training exercise,bore
drive,to operate a vehicle,motivation or ambition,propel
drop,a small amount of liquid,to let fall,droplet
duck,a type of bird,to lower one's head,waterfowl
dust,fine particles of matter,to wipe the fine particles from a surface,powder
duty,a moral or legal obligation,a tax on imported goods,responsibility
dwarf,a person of short stature,a small dense star,elf
ear,the organ for hearing,a part of a corn stalk,auricle
edge,the outside limit of an object,a sharp cutting side,border
effect,a change which is a result of an action,to bring about,outcome
egg,an oval reproductive body,to urge someone to do something,ovum
engagement,an agreement to be married,a battle,betrothal
engine,a machine with moving parts,a railway locomotive,motor
entrance,a way in,to fill with delight,entry
even,level or smooth,a whole number divisible by two,flat
exact,precisely correct,to demand and obtain,precise
express,to convey a thought,fast and direct,articulate
extract,to remove or take out,a short passage from a text,remove
fabricate,to invent something false,to construct or manufacture,falsify
face,the front of the head,to confront,visage
fair,just and reasonable,an outdoor event,equitable
fall,to drop downwards,the autumn season,descend
fan,a device for creating a breeze,an admirer,ventilator
fast,moving quickly,to abstain from food,rapid
file,a tool for smoothing surfaces,a folder for documents,rasp
fine,of high quality,a sum of money paid as a penalty,excellent
fire,combustion producing heat,to dismiss from a job,blaze
firm,solidly in place,a business organization,stable
fit,to be the right size,a sudden attack of illness,conform
fly,an insect,to move through the air,gnat
foot,a part of the body,a unit of measurement,extremity
fork,an eating utensil,a division in a road,implement
found,to establish an institution,discovered,establish
fry,to cook in hot fat,young fish,sizzle
glass,a transparent material,a drinking container,crystal
grade,a level of quality,a school year,level
grave,a place of burial,serious or solemn,tomb
green,a color,inexperienced,emerald
grill,a framework of metal bars for cooking,to question intensely,broil
groom,a person who looks after horses,a bridegroom,stablehand
ground,the solid surface of the earth,pulverized coffee beans,soil
handle,a part of an object to grip,to manage or deal with,grip
hard,solid and firm,difficult,rigid
head,the upper part of the body,the leader of a group,cranium
hide,to conceal,the skin of an animal,pelt
hit,to strike,a success,smack
hold,to grasp,the cargo area of a ship,clasp
hop,to jump on one foot,a type of climbing plant,leap
host,a person who entertains guests,a large number of people,entertainer
hot,having a high temperature,popular,scalding
hail,pellets of frozen rain,to call out to,acclaim
hamper,a basket for laundry,to hinder or impede,obstruct
hatch,to emerge from an egg,an opening in a door or floor,incubate
haunt,a place frequented by a ghost,to be persistently in the mind of,torment
head,the top part of the body,a leader,cranium
heel,the back part of the foot,to lean to one side,incline
hike,a long walk,to raise a price,trek
hiss,a sharp sibilant sound,to express disapproval of,sibilate
hitch,to move something into a different position,a temporary problem,snag
hive,a beehive,a place of great activity,swarm
hock,a joint in a quadruped's hind leg,to pawn something,pledge
hood,a covering for the head,the cover over a car's engine,cowl
horn,a pointed growth on an animal's head,a musical instrument,antler
hose,a flexible tube for conveying water,stockings,pipe
hull,the main body of a ship,the outer covering of a seed,frame
hump,a rounded protuberance,to carry something heavy,bulge
hunt,to pursue and kill wild animals,a search,chase
husk,the dry outer covering of some fruits,a hoarse voice,shell
ice,frozen water,to cover with icing,glacier
impact,the action of one object forcibly hitting another,a marked effect,collision
import,to bring goods into a country,the significance of something,bring-in
impose,to force something to be accepted,to take advantage of,inflict
imprint,a mark made by pressure,to have a lasting effect on,stamp
inch,a unit of length,to move slowly,creep
income,money received on a regular basis,a person's revenue,earnings
index,an alphabetical list of names,a pointer on a scale,directory
ingrain,to fix firmly,a type of yarn,embed
initial,existing at the beginning,the first letter of a name,first
ink,a colored fluid for writing,to sign a contract,pigment
inlet,a small arm of the sea,a place for entry,cove
interest,the state of wanting to know something,money paid for the use of money,curiosity
interview,a meeting of people face to face,to question someone,meeting
intrigue,to arouse the curiosity of,a secret plan,fascinate
iron,a strong metal,a device for pressing clothes,ferrous
issue,an important topic for debate,to supply or distribute,topic
ivory,a hard creamy-white substance from tusks,a creamy-white color,tusk
jack,a device for lifting heavy objects,a playing card,lifter
jacket,an outer garment,a protective cover,coat
jag,a sharp projection,a period of unrestrained activity,spike
jam,a sweet spread made from fruit,a situation where things are stuck,preserve
jar,a cylindrical glass container,to send a painful shock through,container
jaw,the upper or lower bone of the mouth,to talk at length,mandible
jeans,hard-wearing casual trousers,a type of sturdy cloth,denim
jelly,a fruit-flavored dessert,a state of fear,gelatin
jet,an aircraft with a specific engine,a stream of water,airplane
jig,a lively dance,a device that holds work,caper
jockey,a person who rides in horse races,to maneuver for position,rider
jog,to run at a steady gentle pace,a slight push,trot
join,to link or connect,to become a member of,unite
joint,a structure where two bones connect,shared by two or more people,connection
joist,a length of timber supporting a floor,a supporting beam,beam
joke,a thing that someone says to cause amusement,a person or thing that is ridiculously inadequate,quip
jolt,a sudden rough movement,a surprise,shock
journal,a newspaper or magazine,a daily record of events,diary
judge,a public official who decides cases in a court,to form an opinion about,adjudicator
jug,a large container for liquids,a slang term for prison,pitcher
juice,the liquid from fruit or vegetables,slang for electricity,nectar
jumble,an untidy collection,to mix up in a confused way,muddle
jumbo,very large,a large airplane,giant
jump,to push oneself off a surface,a sudden startled movement,leap
jumper,a person or thing that jumps,a pullover sweater,sweater
junction,a point where two or more things are joined,a place where railway lines meet,intersection
jungle,an area of land with dense forest,a situation of ruthless competition,rainforest
junior,of or for younger people,a person with a lower rank,younger
junk,old or discarded articles,a type of sailing vessel,rubbish
jury,a body of people sworn to give a verdict in a legal case,a group of people who judge a competition,panel
just,based on what is morally right,exactly,fair
jut,to extend out,a point that extends out,protrude
keel,a structure along the base of a ship,to fall over,overturn
keen,having or showing eagerness,sharp,eager
keep,to have or retain possession of,care or charge,retain
keg,a small barrel,a container for beer,cask
key,a small piece of metal for operating a lock,of crucial importance,opener
kick,to strike with the foot,a thrill,boot
kid,a child,to deceive someone playfully,youngster
kill,to cause the death of,to put an end to,slay
kin,one's family and relations,related,family
kind,a type or sort,caring and considerate,variety
king,a male ruler of a country,the most important piece in chess,monarch
kink,a sharp twist in something,a flaw,twist
kit,a set of equipment,a young fox or cat,outfit
knead,to work dough with the hands,to massage,massage
knee,the joint between the thigh and the lower leg,a part of a garment covering the knee,patella
knell,the sound of a bell for a death,a sign of the end of something,toll
knife,an instrument for cutting,to stab,blade
knit,to make a garment by interlocking loops of wool,to unite or join together,weave
knob,a rounded lump,a handle on a door,handle
knock,to strike a surface noisily,a setback,rap
knot,a fastening made by looping a piece of string,a tight group of people,tie
