word,meaning1,synonym1,meaning2,synonym2
coat,outer garment,jacket,layer of paint,coat
compact,small,tiny,formal agreement,pact
compound,mixture,blend,walled area,enclosure
concert,musical performance,recital,agreement,accord
conduct,behaviour,demeanor,carry out,perform
contest,competition,match,dispute,challenge
contract,agreement,pact,shrink,shrink
convert,change,alter,religious adherent,proselyte
cooler,refrigerator,chiller,prison,jail
copy,duplicate,clone,written material,text
corner,angle,angle,trap,ensnare
counter,flat surface,worktop,opposing,anti
crack,split line,fissure,excellent,great
crop,harvest,reap,short haircut,bob
crown,royal headwear,tiara,top part,crest
cube,six-faced solid,hexahedron,cut into cubes,dice
cue,signal,prompt,billiards stick,cue
curl,twist of hair,ringlet,arc shape,curve
current,present time,now,flow of electricity,amperage
cut,reduce,trim,injury,wound
dash,short run,sprint,punctuation mark,hyphen
deck,outdoor platform,patio,decorate,adorn
die,cease living,perish,stamping tool,die
dock,harbour platform,pier,deduct pay,withhold
draft,compulsory service,conscription,sketch,outline
drawn,pulled,tugged,ended in a tie,tied
drop,let fall,release,small amount,dash
duck,waterfowl,teal,lower the head,dodge
dust,fine powder,powder,remove dust,wipe
engage,participate,join,mesh gears,mesh
even,flat,level,equal,equal
exact,precise,accurate,demand,extract
execute,carry out,perform,put to death,kill
express,fast,rapid,state clearly,voice
file,narrow folder,folder,walk in line,queue
fine,good,good,monetary penalty,penalty
firm,company,business,solid,solid
flat,apartment,unit,level,level
flush,redden,blush,even with surface,level
found,discovered,found,established,founded
grave,tomb,tomb,serious,solemn
grill,metal grate,gridiron,question intensely,quiz
gum,confection,chew,mouth tissue,gingiva
hail,frozen rain,hail,call out to,hail
handle,manage,tackle,part for holding,grip
harbour,port,port,keep secretly,shelter
hide,conceal,conceal,animal skin,pelt
hostel,inexpensive lodging,inn,student residence,dorm
hover,stay in air,linger,move cursor over,hover
human,person,person,kind; humane,kind
jack,lifting device,jack,male animal,buck
joint,connection,junction,bar for cannabis,roach
judge,decide,assess,court official,arbiter
kid,child,child,young goat,goat
kind,type,sort,benevolent,kindly
land,touch down,alight,country or area,nation
